C,rank balanced_accuracy,mean balanced_accuracy,std balanced_accuracy,rank accuracy,mean accuracy,std accuracy
0.002685643817584554,26,0.7747613378816409,0.04499669693313306,122,0.8932221098752949,0.015325200806790179
0.002812430525368452,27,0.7747502384305592,0.045181185885891116,121,0.8932237950792047,0.015202226617464005
0.0007729420088193235,28,0.7747104021950568,0.0513745955842927,356,0.8775463431075161,0.021229274499995225
0.001019406140805149,29,0.7744842114006294,0.04374825103214389,175,0.8845146612740142,0.019390640740932913
0.0009734504639194271,30,0.7741765161798464,0.04340655269054793,189,0.8833535557802493,0.01886189467720283
0.0009295665071788839,31,0.7740131174870358,0.04311785109911977,230,0.8827721604314123,0.018156385358678098
0.000738097140040481,32,0.77389005551993,0.05136754039074279,357,0.8746427367711493,0.022087997665817285
0.00042433890832287716,33,0.7737942090815206,0.049507553158626906,369,0.8595567913717559,0.027696801974150063
0.001407929693175962,34,0.7733350631807274,0.04145875904106117,147,0.8879962925513987,0.01599650161246486
0.0013444590513311868,34,0.7733350631807274,0.04145875904106117,147,0.8879962925513987,0.01599650161246486
0.0007048231069341224,36,0.7732635656272819,0.051277380114993235,358,0.8723222109875295,0.021901245077331315
0.000673049094921332,37,0.7731183223447836,0.0514798374175148,359,0.8717441860465115,0.022074953977098518
0.0012838497188228887,38,0.7730264212054188,0.0415065100573652,151,0.8868368722615436,0.017045857455562037
0.001225972705445816,38,0.7730264212054188,0.0415065100573652,151,0.8868368722615436,0.017045857455562037
0.0006427074818033231,40,0.7729549236519733,0.051240768210437,360,0.8711627906976742,0.021396920362219834
0.009331466827566528,41,0.7727212188047943,0.043089143361033026,10,0.9059925851027975,0.011137525770811733
0.008910796540002066,42,0.772711066108238,0.0429651971419383,12,0.9059908998988877,0.010369244662733203
0.0006137336938462851,43,0.7723385864558814,0.05121299558225624,361,0.8688422649140545,0.022969108220678856
0.000586066068354051,44,0.7717019438666772,0.051457301146118746,362,0.8665217391304347,0.023657904449022354
0.007759189535367094,45,0.7716638362642442,0.046929439161198114,19,0.9042500842601957,0.012756653656904598
0.0002554733341531624,46,0.771531441583797,0.068106738009638,380,0.8282018874283787,0.03157403100051591
0.007075376953520609,47,0.7715095152765898,0.04674266869650045,29,0.903670374115268,0.012672904385037868
0.007409398816134453,48,0.7713450415923793,0.046935539553315364,50,0.9030906639703404,0.01295695127883483
0.0005596457224360915,49,0.7712094695685712,0.05158860337232652,363,0.8647809234917425,0.02501186228217037
0.0025645727600631892,50,0.7710779395710496,0.0463027496818627,112,0.8943798449612403,0.015693649946954134
0.002448959686535594,51,0.7709134658868391,0.04630193797810493,116,0.8938001348163128,0.0164220647213803
0.0005344164276915689,52,0.7709017743477878,0.05122072631576586,364,0.8636198179979779,0.02463104238280533
0.002132462826078452,53,0.7707592731360593,0.04637078015128849,122,0.8932221098752949,0.016790197112211316
0.0023385585465427556,54,0.7707591448991848,0.04648242743286697,124,0.8932204246713853,0.016294800854691583
0.002036329627853186,55,0.7706058989029305,0.04645865780614346,129,0.8926407145264577,0.017056684292749275
0.01175213742906645,56,0.7705880863299768,0.04803404445610316,1,0.9077384563532187,0.015177999860298785
0.0022331343817850466,57,0.7704414252187199,0.04618707113053415,134,0.8920593191776204,0.016084518387470808
0.00024395638371769814,58,0.7704338577775554,0.06828169916738998,381,0.8241388608021571,0.03375100979193937
0.0005103244905427326,59,0.7704185059917126,0.051604161420870646,365,0.8618790023592855,0.025010681411111943
0.01413352258924401,60,0.7704144067037355,0.04784362948041908,3,0.9071553758004718,0.013751625721364588
0.0019445301941784674,61,0.7702881792224657,0.04617095522871366,136,0.8914796090326929,0.016101273148666908
0.0018568691553430376,62,0.7702781547627839,0.04615276802306116,136,0.8914796090326929,0.016101273148666908
0.012306944736088782,63,0.7702702384126374,0.04823088331556748,5,0.9065773508594539,0.0156158196141225
0.00048731863796298516,64,0.7702641850040581,0.05146456518991712,366,0.861299292214358,0.025327679641956743
0.012887943972007728,65,0.7702600857160812,0.04803352192121386,7,0.9065756656555444,0.014508955444767409
0.013496371633045751,65,0.7702600857160812,0.04803352192121386,7,0.9065756656555444,0.014508955444767409
0.0017731599490647533,67,0.7701136810785736,0.046164039702690195,139,0.8908998988877654,0.016201196655683574
0.00046534990835642333,68,0.7700997113198477,0.05131741048058985,367,0.8607195820694304,0.02569313212241929
0.0004443715473566187,69,0.7699352376356371,0.051433489724713684,368,0.8601381867205932,0.02598664720556659
0.00169322442344435,70,0.7697948864067087,0.04627133133088409,141,0.8897387933940006,0.016655950845725936
0.00023295862698897676,71,0.7696338164955406,0.06826606141004235,382,0.8212369396696999,0.0337514465755799
0.0014743967240682125,72,0.7696294659679727,0.04610407040019798,142,0.8891590832490731,0.01785938968517179
0.0016168924578183997,73,0.7694760917348438,0.04636771875240031,144,0.8885776879002358,0.017697749257559636
0.001544001600704497,73,0.7694760917348438,0.046194165158203175,144,0.8885776879002358,0.01816627428478519
0.00022245665828277332,75,0.769459190114774,0.0684605712112569,383,0.8206555443208629,0.03345072268011129
0.0002124281270625806,76,0.7689880962011802,0.06806641519381591,384,0.8189113582743511,0.03224785374208638
0.009771996562044085,77,0.7688713250640669,0.04662320903173512,7,0.9065756656555444,0.013041636817000197
